block_id,assigned_school,population,students,walk_dist_m,drive_dist_m,walk_dist_mi,drive_dist_mi,walkable
230050032001004,Small,199,4.73,115.7,822.2,0.072,0.511,True
230050030011024,Skillin,57,1.36,368.3,534.7,0.229,0.332,True
230050032001001,Small,87,2.07,344.7,253.0,0.214,0.157,True
230050032001002,Small,57,1.36,490.7,399.0,0.305,0.248,True
230050035002008,Small,53,1.26,589.5,399.0,0.366,0.248,True
230050030012012,Skillin,27,0.64,291.6,458.0,0.181,0.285,True
230050030012011,Skillin,25,0.59,435.8,602.2,0.271,0.374,True
230050030012013,Skillin,63,1.5,442.2,608.6,0.275,0.378,True
230050030011012,Skillin,124,2.95,338.0,171.6,0.21,0.107,True
230050030011008,Skillin,35,0.83,631.0,464.6,0.392,0.289,True
230050030011018,Skillin,54,1.28,951.5,525.5,0.591,0.327,True
230050030012017,Skillin,16,0.38,470.7,637.1,0.292,0.396,True
230050032001000,Small,129,3.07,658.3,640.5,0.409,0.398,True
230050030012016,Skillin,62,1.48,497.1,663.5,0.309,0.412,True
230050030011023,Skillin,81,1.93,504.6,671.0,0.314,0.417,True
230050030011022,Skillin,51,1.21,767.9,671.0,0.477,0.417,True
230050030012008,Skillin,50,1.19,517.7,684.1,0.322,0.425,True
230050030012014,Skillin,36,0.86,521.7,688.0,0.324,0.428,True
230050030012009,Skillin,23,0.55,532.5,698.9,0.331,0.434,True
230050035002025,Small,27,0.64,797.9,706.1,0.496,0.439,True
230050035002004,Small,25,0.59,891.9,624.9,0.554,0.388,True
230050030012010,Skillin,75,1.78,549.3,715.7,0.341,0.445,True
230050030011017,Skillin,87,2.07,901.3,734.9,0.56,0.457,True
230050035002016,Small,44,1.05,823.1,744.5,0.511,0.463,True
230050035002009,Small,22,0.52,750.1,770.0,0.466,0.478,True
230050035002021,Small,62,1.48,668.3,773.1,0.415,0.48,True
230050030011025,Skillin,17,0.4,825.3,801.5,0.513,0.498,True
230050030012004,Skillin,48,1.14,665.4,831.8,0.413,0.517,True
230050035002017,Small,60,1.43,932.6,840.8,0.579,0.522,True
230050035002030,Small,34,0.81,930.0,851.5,0.578,0.529,True
230050030011013,Skillin,110,2.62,1094.2,881.9,0.68,0.548,True
230050035002010,Small,27,0.64,1033.1,884.6,0.642,0.55,True
230050035003023,Small,31,0.74,883.5,791.8,0.549,0.492,True
230050030012021,Skillin,27,0.64,729.6,896.0,0.453,0.557,True
230050030012023,Skillin,32,0.76,729.6,896.0,0.453,0.557,True
230050035002006,Small,131,3.12,916.6,897.6,0.57,0.558,True
230050030012015,Skillin,27,0.64,706.7,901.2,0.439,0.56,True
230050035002015,Small,93,2.21,1152.5,942.4,0.716,0.586,True
230050033002029,Skillin,44,1.05,828.4,976.9,0.515,0.607,True
230050035001017,Small,147,3.5,673.0,987.5,0.418,0.614,True
230050035002001,Small,26,0.62,1111.6,995.0,0.691,0.618,True
230050030011026,Skillin,24,0.57,749.8,996.6,0.466,0.619,True
230050035002014,Small,69,1.64,1089.9,998.2,0.677,0.62,True
230050032001006,Small,99,2.36,1045.4,953.7,0.65,0.593,True
230050032002000,Small,33,0.79,1059.2,967.5,0.658,0.601,True
230050033002023,Skillin,45,1.07,909.8,1000.3,0.565,0.622,True
230050035003014,Small,120,2.85,1134.9,1003.3,0.705,0.623,True
230050030011021,Skillin,42,1.0,803.7,1006.0,0.499,0.625,True
230050035002003,Small,134,3.19,1268.9,1008.3,0.788,0.627,True
230050035001018,Small,40,0.95,699.3,1014.8,0.435,0.631,True
230050035003015,Small,108,2.57,1109.5,1017.8,0.689,0.632,True
230050035003016,Small,96,2.28,1109.5,1017.8,0.689,0.632,True
230050030012019,Skillin,14,0.33,834.6,1020.2,0.519,0.634,True
230050030011020,Skillin,31,0.74,855.9,1022.3,0.532,0.635,True
230050030011010,Skillin,35,0.83,806.5,972.9,0.501,0.605,True
230050030011007,Skillin,265,6.3,533.4,1049.3,0.331,0.652,True
230050030011011,Skillin,27,0.64,882.9,1049.3,0.549,0.652,True
230050032002001,Small,46,1.09,1142.7,1051.0,0.71,0.653,True
230050035002022,Small,20,0.48,1075.3,967.5,0.668,0.601,True
230050035002023,Small,39,0.93,1142.7,1051.0,0.71,0.653,True
230050035001016,Small,89,2.12,809.1,1062.1,0.503,0.66,True
230050030012006,Skillin,85,2.02,706.7,1065.1,0.439,0.662,True
230050030012003,Skillin,51,1.21,697.7,864.1,0.434,0.537,True
230050035002020,Small,95,2.26,737.9,1072.7,0.458,0.667,True
230050035001014,Small,48,1.14,569.0,895.5,0.354,0.556,True
230050035001024,Small,22,0.52,797.8,1062.7,0.496,0.66,True
230050035002012,Small,36,0.86,1183.3,1091.6,0.735,0.678,True
230050030012007,Skillin,76,1.81,934.2,1100.6,0.58,0.684,True
230050033002024,Skillin,44,1.05,939.5,1105.9,0.584,0.687,True
