block_id,assigned_school,population,students,walk_dist_m,drive_dist_m,walk_dist_mi,drive_dist_mi,walkable
230050033001005,Dyer,114,4.03,251.9,158.0,0.157,0.098,True
230050031002012,Kaler,494,4.15,1067.7,258.8,0.663,0.161,True
230050031002013,Kaler,32,0.01,240.9,101.7,0.15,0.063,True
230050033001003,Dyer,264,5.08,213.5,119.6,0.133,0.074,True
230050031001006,Kaler,36,0.01,352.6,193.0,0.219,0.12,True
230050033001004,Dyer,63,1.02,389.4,295.5,0.242,0.184,True
230050031001005,Kaler,77,1.02,478.2,318.7,0.297,0.198,True
230050031001004,Kaler,52,0.02,680.4,289.6,0.423,0.18,True
230050031001003,Kaler,48,1.01,741.4,361.4,0.461,0.225,True
230050031003003,Kaler,82,5.03,612.6,451.2,0.381,0.28,True
230050031003002,Kaler,45,0.01,447.3,382.8,0.278,0.238,True
230050031003001,Kaler,48,1.01,621.3,461.7,0.386,0.287,True
230050033001017,Dyer,78,3.02,466.3,464.5,0.29,0.289,True
230050031003000,Kaler,406,11.12,697.5,537.9,0.433,0.334,True
230050033001018,Dyer,25,0.01,662.0,545.2,0.411,0.339,True
230050033001006,Dyer,48,1.01,458.3,549.4,0.285,0.341,True
230050031003004,Kaler,50,1.02,1025.2,599.0,0.637,0.372,True
230050033001002,Dyer,35,0.01,598.7,629.2,0.372,0.391,True
230050033001001,Dyer,16,0.0,461.4,667.2,0.287,0.415,True
230050031001002,Kaler,39,0.01,875.7,716.1,0.544,0.445,True
230050034005003,Dyer,38,0.01,841.6,747.7,0.523,0.465,True
230050031001001,Kaler,352,5.11,957.3,797.7,0.595,0.496,True
230050034005004,Dyer,17,1.01,952.8,858.9,0.592,0.534,True
230050031003005,Kaler,30,0.01,952.0,870.6,0.592,0.541,True
230050031002010,Kaler,107,0.03,1049.8,890.3,0.652,0.553,True
230050034005002,Dyer,140,4.04,1370.5,929.7,0.852,0.578,True
230050033001000,Dyer,16,0.0,633.1,931.1,0.393,0.579,True
230050034005005,Dyer,22,0.01,920.7,1000.8,0.572,0.622,True
230050034005006,Dyer,24,0.01,920.7,1000.8,0.572,0.622,True
230050033001009,Dyer,15,0.0,269.7,1172.3,0.168,0.728,True
230050033001010,Dyer,48,3.01,573.7,1172.9,0.356,0.729,True
230050033001013,Kaler,22,1.01,1335.9,1178.6,0.83,0.732,True
230050031002009,Kaler,106,1.03,1359.3,1199.8,0.845,0.746,True
230050031002014,Kaler,62,2.02,1359.3,1199.8,0.845,0.746,True
230050033001011,Dyer,35,1.01,331.2,1233.8,0.206,0.767,True
230050033001007,Dyer,655,12.2,912.1,1236.6,0.567,0.768,True
230050031002007,Kaler,307,6.09,1504.1,1344.5,0.935,0.835,True
230050034005000,Dyer,251,2.08,1380.0,1430.4,0.857,0.889,True
230050034005008,Dyer,53,0.02,1344.8,1505.5,0.836,0.935,True
230050031002011,Kaler,305,7.09,1672.6,1531.3,1.039,0.951,False
230050031002002,Kaler,31,1.01,1602.2,1533.5,0.996,0.953,True
230050034005001,Dyer,26,1.01,1518.2,1613.5,0.943,1.003,True
230050031002006,Kaler,26,1.01,1748.5,1620.1,1.086,1.007,False
230050031002000,Kaler,59,1.02,1835.2,1638.2,1.14,1.018,False
230050031002001,Kaler,30,1.01,1817.8,1689.5,1.13,1.05,False
230050031002004,Kaler,59,0.02,1885.8,1754.9,1.172,1.09,False
230050034005009,Dyer,39,1.01,1675.1,1757.4,1.041,1.092,False
230050031002005,Kaler,76,1.02,2049.1,1852.8,1.273,1.151,False
230050034005007,Dyer,495,7.15,2201.4,2362.1,1.368,1.468,False
230050034005012,Dyer,24,0.01,2046.4,2207.1,1.272,1.371,False
230050033001015,Dyer,138,4.04,2790.2,2239.6,1.734,1.392,False
230050031004001,Kaler,154,4.05,2101.1,2480.4,1.306,1.541,False
230050031004003,Kaler,46,0.01,1222.0,1062.4,0.759,0.66,True
230050031004002,Kaler,24,0.01,1513.8,1334.0,0.941,0.829,True
230050031004006,Kaler,77,0.02,1657.3,1510.8,1.03,0.939,False
230050031004019,Kaler,35,0.01,1595.0,1404.9,0.991,0.873,True
230050033002012,Kaler,93,2.03,1595.7,1433.1,0.992,0.89,True
230050033002013,Kaler,33,0.01,1441.8,1279.2,0.896,0.795,True
230050033002002,Kaler,17,0.01,1623.4,1460.8,1.009,0.908,False
230050033002003,Kaler,23,0.01,1664.2,1460.8,1.034,0.908,False
230050033002011,Kaler,80,0.02,1652.8,1477.9,1.027,0.918,False
230050031004007,Kaler,56,2.02,1931.3,1540.8,1.2,0.957,False
230050033002014,Kaler,67,1.02,1841.3,1666.4,1.144,1.035,False
230050033002008,Kaler,46,1.01,1864.3,1773.1,1.158,1.102,False
230050031004018,Kaler,31,1.01,1925.2,1778.6,1.196,1.105,False
230050031004005,Kaler,59,0.02,2107.3,1842.1,1.309,1.145,False
230050031004011,Kaler,46,0.01,2012.2,1856.1,1.25,1.153,False
230050031004012,Kaler,176,2.05,2243.9,1965.9,1.394,1.222,False
230050031004013,Kaler,91,0.03,2122.0,1718.1,1.319,1.068,False
230050031004017,Kaler,18,1.01,2052.8,1860.1,1.276,1.156,False
230050031004016,Kaler,42,1.01,2377.0,1965.9,1.477,1.222,False
230050031004010,Kaler,32,1.01,2176.0,2132.5,1.352,1.325,False
230050031004015,Kaler,22,0.01,2301.5,2137.1,1.43,1.328,False
230050033002007,Kaler,270,3.08,2508.6,2333.8,1.559,1.45,False
230050033002016,Kaler,44,1.01,2204.4,2041.8,1.37,1.269,False
230050033002010,Kaler,24,0.01,2294.4,2119.5,1.426,1.317,False
230050033002009,Kaler,31,0.01,2365.4,2190.5,1.47,1.361,False
230050033002001,Kaler,65,0.02,2465.8,2303.2,1.532,1.431,False
230050033002017,Kaler,47,1.01,2504.1,2329.2,1.556,1.447,False
