block_id,assigned_school,population,students,walk_dist_m,drive_dist_m,walk_dist_mi,drive_dist_mi,walkable
230050032001004,Small,199,0.06,115.7,822.2,0.072,0.511,True
230050031002012,Kaler,494,4.15,1067.7,258.8,0.663,0.161,True
230050031002013,Kaler,32,0.01,240.9,101.7,0.15,0.063,True
230050031001006,Kaler,36,0.01,352.6,193.0,0.219,0.12,True
230050032001001,Small,87,1.03,344.7,253.0,0.214,0.157,True
230050031001005,Kaler,77,1.02,478.2,318.7,0.297,0.198,True
230050031001004,Kaler,52,0.02,680.4,289.6,0.423,0.18,True
230050031001003,Kaler,48,1.01,741.4,361.4,0.461,0.225,True
230050032001002,Small,57,1.02,490.7,399.0,0.305,0.248,True
230050035002008,Small,53,1.02,589.5,399.0,0.366,0.248,True
230050031003003,Kaler,82,5.03,612.6,451.2,0.381,0.28,True
230050031003002,Kaler,45,0.01,447.3,382.8,0.278,0.238,True
230050031003001,Kaler,48,1.01,621.3,461.7,0.386,0.287,True
230050031003000,Kaler,406,11.12,697.5,537.9,0.433,0.334,True
230050031003004,Kaler,50,1.02,1025.2,599.0,0.637,0.372,True
230050032001000,Small,129,2.04,658.3,640.5,0.409,0.398,True
230050035002025,Small,27,0.01,797.9,706.1,0.496,0.439,True
230050035002004,Small,25,0.01,891.9,624.9,0.554,0.388,True
230050031001002,Kaler,39,0.01,875.7,716.1,0.544,0.445,True
230050035002016,Small,44,0.01,823.1,744.5,0.511,0.463,True
230050035002009,Small,22,0.01,750.1,770.0,0.466,0.478,True
230050035002021,Small,62,2.02,668.3,773.1,0.415,0.48,True
230050031001001,Kaler,352,5.11,957.3,797.7,0.595,0.496,True
230050035002017,Small,60,3.02,932.6,840.8,0.579,0.522,True
230050035002030,Small,34,0.01,930.0,851.5,0.578,0.529,True
230050031003005,Kaler,30,0.01,952.0,870.6,0.592,0.541,True
230050035002010,Small,27,1.01,1033.1,884.6,0.642,0.55,True
230050035003023,Small,31,0.01,883.5,791.8,0.549,0.492,True
230050031002010,Kaler,107,0.03,1049.8,890.3,0.652,0.553,True
230050035002006,Small,131,0.04,916.6,897.6,0.57,0.558,True
230050035002015,Small,93,0.03,1152.5,942.4,0.716,0.586,True
230050035001017,Small,147,0.04,673.0,987.5,0.418,0.614,True
230050035002001,Small,26,0.01,1111.6,995.0,0.691,0.618,True
230050035002014,Small,69,3.02,1089.9,998.2,0.677,0.62,True
230050032001006,Small,99,2.03,1045.4,953.7,0.65,0.593,True
230050032002000,Small,33,0.01,1059.2,967.5,0.658,0.601,True
230050035003014,Small,120,2.04,1134.9,1003.3,0.705,0.623,True
230050035002003,Small,134,0.04,1268.9,1008.3,0.788,0.627,True
230050035001018,Small,40,0.01,699.3,1014.8,0.435,0.631,True
230050035003015,Small,108,2.03,1109.5,1017.8,0.689,0.632,True
230050035003016,Small,96,1.03,1109.5,1017.8,0.689,0.632,True
230050032002001,Small,46,1.01,1142.7,1051.0,0.71,0.653,True
230050035002022,Small,20,0.01,1075.3,967.5,0.668,0.601,True
230050035002023,Small,39,0.01,1142.7,1051.0,0.71,0.653,True
230050035001016,Small,89,1.03,809.1,1062.1,0.503,0.66,True
230050035002020,Small,95,0.03,737.9,1072.7,0.458,0.667,True
230050035001014,Small,48,0.01,569.0,895.5,0.354,0.556,True
230050035001024,Small,22,0.01,797.8,1062.7,0.496,0.66,True
230050035002012,Small,36,0.01,1183.3,1091.6,0.735,0.678,True
230050035003013,Small,22,0.01,1220.5,1128.8,0.758,0.701,True
230050035002018,Small,338,0.1,1201.7,1129.0,0.747,0.702,True
230050035002024,Small,21,0.01,1224.7,1133.0,0.761,0.704,True
230050035003022,Small,51,0.02,1228.4,1139.1,0.763,0.708,True
230050035003021,Small,48,0.01,1210.5,1139.1,0.752,0.708,True
230050035001013,Small,176,1.05,834.4,1141.3,0.518,0.709,True
230050032002002,Small,26,0.01,1245.7,1146.3,0.774,0.712,True
230050035001025,Small,28,2.01,950.4,1146.8,0.591,0.713,True
230050034001005,Small,37,0.01,874.4,1148.2,0.543,0.713,True
230050035002002,Small,187,0.06,1300.1,1156.5,0.808,0.719,True
