block_id,assigned_school,population,students,walk_dist_m,drive_dist_m,walk_dist_mi,drive_dist_mi,walkable
230050034002004,Brown,14,0.01,251.8,0.0,0.156,0.0,True
230050032001004,Small,199,3.21,115.7,822.2,0.072,0.511,True
230050033001005,Dyer,114,10.12,251.9,158.0,0.157,0.098,True
230050030011024,Skillin,57,2.06,368.3,534.7,0.229,0.332,True
230050034002007,Brown,51,1.05,47.9,86.4,0.03,0.054,True
230050033001003,Dyer,264,10.27,213.5,119.6,0.133,0.074,True
230050034002003,Brown,87,3.09,280.9,211.2,0.175,0.131,True
230050034002008,Brown,101,5.1,280.9,211.2,0.175,0.131,True
230050032001001,Small,87,1.09,344.7,253.0,0.214,0.157,True
230050034002009,Brown,28,1.03,271.0,278.9,0.168,0.173,True
230050033001004,Dyer,63,3.07,389.4,295.5,0.242,0.184,True
230050032001002,Small,57,3.06,490.7,399.0,0.305,0.248,True
230050035002008,Small,53,1.05,589.5,399.0,0.366,0.248,True
230050030012012,Skillin,27,1.03,291.6,458.0,0.181,0.285,True
230050033001017,Dyer,78,5.08,466.3,464.5,0.29,0.289,True
230050034003003,Brown,50,0.05,555.4,485.7,0.345,0.302,True
230050034002002,Brown,77,2.08,558.9,497.9,0.347,0.309,True
230050032002013,Brown,75,5.08,534.3,471.4,0.332,0.293,True
230050034002001,Brown,118,5.12,558.9,497.9,0.347,0.309,True
230050033001018,Dyer,25,0.03,662.0,545.2,0.411,0.339,True
230050033001006,Dyer,48,3.05,458.3,549.4,0.285,0.341,True
230050032002010,Brown,20,0.02,640.8,563.4,0.398,0.35,True
230050032002012,Brown,33,0.03,632.1,569.2,0.393,0.354,True
230050034003004,Brown,46,2.05,614.2,575.7,0.382,0.358,True
230050030012011,Skillin,25,2.03,435.8,602.2,0.271,0.374,True
230050032002009,Brown,47,0.05,668.7,605.8,0.416,0.376,True
230050030012013,Skillin,63,3.07,442.2,608.6,0.275,0.378,True
230050030011012,Skillin,124,1.13,338.0,171.6,0.21,0.107,True
230050030011008,Skillin,35,2.04,631.0,464.6,0.392,0.289,True
230050030011018,Skillin,54,3.06,951.5,525.5,0.591,0.327,True
230050034002006,Brown,121,2.12,602.8,620.6,0.375,0.386,True
230050032002011,Brown,87,6.09,689.6,626.8,0.429,0.389,True
230050033001002,Dyer,35,1.04,598.7,629.2,0.372,0.391,True
230050030012017,Skillin,16,0.02,470.7,637.1,0.292,0.396,True
230050032001000,Small,129,5.13,658.3,640.5,0.409,0.398,True
230050030012016,Skillin,62,3.06,497.1,663.5,0.309,0.412,True
230050033001001,Dyer,16,1.02,461.4,667.2,0.287,0.415,True
230050030011023,Skillin,81,17.08,504.6,671.0,0.314,0.417,True
230050030011022,Skillin,51,0.05,767.9,671.0,0.477,0.417,True
230050032002005,Brown,53,5.05,743.9,681.0,0.462,0.423,True
230050032002004,Brown,36,0.04,733.9,681.8,0.456,0.424,True
230050030012008,Skillin,50,0.05,517.7,684.1,0.322,0.425,True
230050030012014,Skillin,36,2.04,521.7,688.0,0.324,0.428,True
230050030012009,Skillin,23,0.02,532.5,698.9,0.331,0.434,True
230050035002025,Small,27,0.03,797.9,706.1,0.496,0.439,True
230050035002004,Small,25,0.03,891.9,624.9,0.554,0.388,True
230050030012010,Skillin,75,0.08,549.3,715.7,0.341,0.445,True
230050030011017,Skillin,87,4.09,901.3,734.9,0.56,0.457,True
230050035002016,Small,44,0.05,823.1,744.5,0.511,0.463,True
230050034005003,Dyer,38,0.04,841.6,747.7,0.523,0.465,True
230050032002003,Brown,42,1.04,807.8,763.3,0.502,0.474,True
230050034003000,Brown,114,5.12,826.5,764.4,0.514,0.475,True
230050034003001,Brown,45,2.05,826.5,764.4,0.514,0.475,True
230050034003002,Brown,70,3.07,777.8,764.4,0.483,0.475,True
230050034003005,Brown,92,4.09,751.5,767.6,0.467,0.477,True
230050035002009,Small,22,1.02,750.1,770.0,0.466,0.478,True
230050035002021,Small,62,6.06,668.3,773.1,0.415,0.48,True
230050034002000,Brown,116,4.12,887.8,786.2,0.552,0.489,True
230050030011025,Skillin,17,2.02,825.3,801.5,0.513,0.498,True
230050032002008,Brown,63,2.07,878.8,815.9,0.546,0.507,True
230050032002007,Brown,35,0.04,836.6,773.7,0.52,0.481,True
230050032001007,Brown,24,0.02,888.0,815.9,0.552,0.507,True
230050032002006,Brown,39,0.04,874.9,830.2,0.544,0.516,True
230050030012004,Skillin,48,0.05,665.4,831.8,0.413,0.517,True
230050035002026,Brown,84,2.09,893.3,835.6,0.555,0.519,True
230050032002002,Brown,26,0.03,886.5,836.7,0.551,0.52,True
230050035002017,Small,60,3.06,932.6,840.8,0.579,0.522,True
230050035002030,Small,34,0.04,930.0,851.5,0.578,0.529,True
230050034005004,Dyer,17,1.02,952.8,858.9,0.592,0.534,True
230050032003000,Brown,694,5.72,1390.0,870.1,0.864,0.541,True
230050034003007,Brown,31,3.03,868.0,875.9,0.539,0.544,True
230050034003014,Brown,19,1.02,817.3,825.2,0.508,0.513,True
230050030011013,Skillin,110,1.11,1094.2,881.9,0.68,0.548,True
230050034003008,Brown,60,2.06,881.3,884.1,0.548,0.549,True
230050035002010,Small,27,2.03,1033.1,884.6,0.642,0.55,True
230050035003023,Small,31,1.03,883.5,791.8,0.549,0.492,True
230050030012021,Skillin,27,3.03,729.6,896.0,0.453,0.557,True
230050030012023,Skillin,32,1.03,729.6,896.0,0.453,0.557,True
230050035002006,Small,131,0.14,916.6,897.6,0.57,0.558,True
230050030012015,Skillin,27,0.03,706.7,901.2,0.439,0.56,True
230050034003006,Brown,53,7.05,1002.9,905.3,0.623,0.563,True
230050034003013,Brown,62,2.06,1124.6,905.3,0.699,0.563,True
230050034005002,Dyer,140,12.14,1370.5,929.7,0.852,0.578,True
230050033001000,Dyer,16,0.02,633.1,931.1,0.393,0.579,True
230050032002001,Brown,46,2.05,989.6,932.0,0.615,0.579,True
230050035002023,Brown,39,0.04,989.6,932.0,0.615,0.579,True
230050035002015,Small,93,1.1,1152.5,942.4,0.716,0.586,True
230050034003010,Brown,24,1.02,954.0,961.9,0.593,0.598,True
230050033002029,Skillin,44,2.05,828.4,976.9,0.515,0.607,True
230050035001017,Small,147,4.15,673.0,987.5,0.418,0.614,True
230050034002010,Brown,41,4.04,1053.9,991.8,0.655,0.616,True
230050035002001,Small,26,0.03,1111.6,995.0,0.691,0.618,True
230050030011026,Skillin,24,1.02,749.8,996.6,0.466,0.619,True
230050035002014,Small,69,6.07,1089.9,998.2,0.677,0.62,True
230050032001006,Small,99,5.1,1045.4,953.7,0.65,0.593,True
230050032002000,Small,33,0.03,1059.2,967.5,0.658,0.601,True
230050033002023,Skillin,45,1.05,909.8,1000.3,0.565,0.622,True
230050034005005,Dyer,22,0.02,920.7,1000.8,0.572,0.622,True
230050034005006,Dyer,24,1.02,920.7,1000.8,0.572,0.622,True
230050035003014,Small,120,3.12,1134.9,1003.3,0.705,0.623,True
230050030011021,Skillin,42,1.04,803.7,1006.0,0.499,0.625,True
