block_id,assigned_school,population,students,walk_dist_m,drive_dist_m,walk_dist_mi,drive_dist_mi,walkable
230050033001005,Dyer,114,4.03,251.9,158.0,0.157,0.098,True
230050032001004,Small,199,0.06,115.7,822.2,0.072,0.511,True
230050033001003,Dyer,264,5.08,213.5,119.6,0.133,0.074,True
230050032001001,Small,87,1.03,344.7,253.0,0.214,0.157,True
230050033001004,Dyer,63,1.02,389.4,295.5,0.242,0.184,True
230050032001002,Small,57,1.02,490.7,399.0,0.305,0.248,True
230050035002008,Small,53,1.02,589.5,399.0,0.366,0.248,True
230050033001017,Dyer,78,3.02,466.3,464.5,0.29,0.289,True
230050033001018,Dyer,25,0.01,662.0,545.2,0.411,0.339,True
230050033001006,Dyer,48,1.01,458.3,549.4,0.285,0.341,True
230050033001002,Dyer,35,0.01,598.7,629.2,0.372,0.391,True
230050032001000,Small,129,2.04,658.3,640.5,0.409,0.398,True
230050033001001,Dyer,16,0.0,461.4,667.2,0.287,0.415,True
230050035002025,Small,27,0.01,797.9,706.1,0.496,0.439,True
230050035002004,Small,25,0.01,891.9,624.9,0.554,0.388,True
230050035002016,Small,44,0.01,823.1,744.5,0.511,0.463,True
230050034005003,Dyer,38,0.01,841.6,747.7,0.523,0.465,True
230050035002009,Small,22,0.01,750.1,770.0,0.466,0.478,True
230050035002021,Small,62,2.02,668.3,773.1,0.415,0.48,True
230050035002017,Small,60,3.02,932.6,840.8,0.579,0.522,True
230050035002030,Small,34,0.01,930.0,851.5,0.578,0.529,True
230050034005004,Dyer,17,1.01,952.8,858.9,0.592,0.534,True
230050035002010,Small,27,1.01,1033.1,884.6,0.642,0.55,True
230050035003023,Small,31,0.01,883.5,791.8,0.549,0.492,True
230050035002006,Small,131,0.04,916.6,897.6,0.57,0.558,True
230050034005002,Dyer,140,4.04,1370.5,929.7,0.852,0.578,True
230050033001000,Dyer,16,0.0,633.1,931.1,0.393,0.579,True
230050035002015,Small,93,0.03,1152.5,942.4,0.716,0.586,True
230050035001017,Small,147,0.04,673.0,987.5,0.418,0.614,True
230050035002001,Small,26,0.01,1111.6,995.0,0.691,0.618,True
230050035002014,Small,69,3.02,1089.9,998.2,0.677,0.62,True
230050032001006,Small,99,2.03,1045.4,953.7,0.65,0.593,True
230050032002000,Small,33,0.01,1059.2,967.5,0.658,0.601,True
230050034005005,Dyer,22,0.01,920.7,1000.8,0.572,0.622,True
230050034005006,Dyer,24,0.01,920.7,1000.8,0.572,0.622,True
230050035003014,Small,120,2.04,1134.9,1003.3,0.705,0.623,True
230050035002003,Small,134,0.04,1268.9,1008.3,0.788,0.627,True
230050035001018,Small,40,0.01,699.3,1014.8,0.435,0.631,True
230050035003015,Small,108,2.03,1109.5,1017.8,0.689,0.632,True
230050035003016,Small,96,1.03,1109.5,1017.8,0.689,0.632,True
230050032002001,Small,46,1.01,1142.7,1051.0,0.71,0.653,True
230050035002022,Small,20,0.01,1075.3,967.5,0.668,0.601,True
230050035002023,Small,39,0.01,1142.7,1051.0,0.71,0.653,True
230050035001016,Small,89,1.03,809.1,1062.1,0.503,0.66,True
230050035002020,Small,95,0.03,737.9,1072.7,0.458,0.667,True
230050035001014,Small,48,0.01,569.0,895.5,0.354,0.556,True
230050035001024,Small,22,0.01,797.8,1062.7,0.496,0.66,True
230050035002012,Small,36,0.01,1183.3,1091.6,0.735,0.678,True
230050035003013,Small,22,0.01,1220.5,1128.8,0.758,0.701,True
230050035002018,Small,338,0.1,1201.7,1129.0,0.747,0.702,True
230050035002024,Small,21,0.01,1224.7,1133.0,0.761,0.704,True
230050035003022,Small,51,0.02,1228.4,1139.1,0.763,0.708,True
230050035003021,Small,48,0.01,1210.5,1139.1,0.752,0.708,True
230050035001013,Small,176,1.05,834.4,1141.3,0.518,0.709,True
230050032002002,Small,26,0.01,1245.7,1146.3,0.774,0.712,True
230050035001025,Small,28,2.01,950.4,1146.8,0.591,0.713,True
230050034001005,Small,37,0.01,874.4,1148.2,0.543,0.713,True
230050035002002,Small,187,0.06,1300.1,1156.5,0.808,0.719,True
230050033001009,Dyer,15,0.0,269.7,1172.3,0.168,0.728,True
230050033001010,Dyer,48,3.01,573.7,1172.9,0.356,0.729,True
230050035001008,Small,27,0.01,1015.1,1173.2,0.631,0.729,True
230050035003020,Small,34,1.01,1279.0,1187.3,0.795,0.738,True
