block_id,assigned_school,population,students,walk_dist_m,drive_dist_m,walk_dist_mi,drive_dist_mi,walkable
230050033001005,Dyer,114,4.7,251.9,158.0,0.157,0.098,True
230050031002012,Kaler,494,20.2,1067.7,258.8,0.663,0.161,True
230050034002004,Brown,14,0.6,251.8,0.0,0.156,0.0,True
230050030011024,Skillin,57,2.3,368.3,534.7,0.229,0.332,True
230050034002007,Brown,51,2.1,47.9,86.4,0.03,0.054,True
230050031002013,Kaler,32,1.3,240.9,101.7,0.15,0.063,True
230050033001003,Dyer,264,10.8,213.5,119.6,0.133,0.074,True
230050031001006,Kaler,36,1.5,352.6,193.0,0.219,0.12,True
230050034002003,Brown,87,3.6,280.9,211.2,0.175,0.131,True
230050034002008,Brown,101,4.1,280.9,211.2,0.175,0.131,True
230050034002009,Brown,28,1.1,271.0,278.9,0.168,0.173,True
230050033001004,Dyer,63,2.6,389.4,295.5,0.242,0.184,True
230050031001005,Kaler,77,3.1,478.2,318.7,0.297,0.198,True
230050031001004,Kaler,52,2.1,680.4,289.6,0.423,0.18,True
230050031001003,Kaler,48,2.0,741.4,361.4,0.461,0.225,True
230050031003003,Kaler,82,3.4,612.6,451.2,0.381,0.28,True
230050031003002,Kaler,45,1.8,447.3,382.8,0.278,0.238,True
230050030012012,Skillin,27,1.1,291.6,458.0,0.181,0.285,True
230050031003001,Kaler,48,2.0,621.3,461.7,0.386,0.287,True
230050033001017,Dyer,78,3.2,466.3,464.5,0.29,0.289,True
230050034003003,Brown,50,2.0,555.4,485.7,0.345,0.302,True
230050034002002,Brown,77,3.1,558.9,497.9,0.347,0.309,True
230050032002013,Brown,75,3.1,534.3,471.4,0.332,0.293,True
230050034002001,Brown,118,4.8,558.9,497.9,0.347,0.309,True
230050031003000,Kaler,406,16.6,697.5,537.9,0.433,0.334,True
230050033001018,Dyer,25,1.0,662.0,545.2,0.411,0.339,True
230050033001006,Dyer,48,2.0,458.3,549.4,0.285,0.341,True
230050032002010,Brown,20,0.8,640.8,563.4,0.398,0.35,True
230050032002012,Brown,33,1.3,632.1,569.2,0.393,0.354,True
230050034003004,Brown,46,1.9,614.2,575.7,0.382,0.358,True
230050031003004,Kaler,50,2.0,1025.2,599.0,0.637,0.372,True
230050030012011,Skillin,25,1.0,435.8,602.2,0.271,0.374,True
230050032002009,Brown,47,1.9,668.7,605.8,0.416,0.376,True
230050030012013,Skillin,63,2.6,442.2,608.6,0.275,0.378,True
230050030011012,Skillin,124,5.1,338.0,171.6,0.21,0.107,True
230050030011008,Skillin,35,1.4,631.0,464.6,0.392,0.289,True
230050030011018,Skillin,54,2.2,951.5,525.5,0.591,0.327,True
230050034002006,Brown,121,4.9,602.8,620.6,0.375,0.386,True
230050032002011,Brown,87,3.6,689.6,626.8,0.429,0.389,True
230050033001002,Dyer,35,1.4,598.7,629.2,0.372,0.391,True
230050030012017,Skillin,16,0.7,470.7,637.1,0.292,0.396,True
230050030012016,Skillin,62,2.5,497.1,663.5,0.309,0.412,True
230050033001001,Dyer,16,0.7,461.4,667.2,0.287,0.415,True
230050030011023,Skillin,81,3.3,504.6,671.0,0.314,0.417,True
230050030011022,Skillin,51,2.1,767.9,671.0,0.477,0.417,True
230050032002005,Brown,53,2.2,743.9,681.0,0.462,0.423,True
230050032002004,Brown,36,1.5,733.9,681.8,0.456,0.424,True
230050030012008,Skillin,50,2.0,517.7,684.1,0.322,0.425,True
230050030012014,Skillin,36,1.5,521.7,688.0,0.324,0.428,True
230050030012009,Skillin,23,0.9,532.5,698.9,0.331,0.434,True
230050030012010,Skillin,75,3.1,549.3,715.7,0.341,0.445,True
230050031001002,Kaler,39,1.6,875.7,716.1,0.544,0.445,True
230050030011017,Skillin,87,3.6,901.3,734.9,0.56,0.457,True
230050034005003,Dyer,38,1.6,841.6,747.7,0.523,0.465,True
230050032002003,Brown,42,1.7,807.8,763.3,0.502,0.474,True
230050034003000,Brown,114,4.7,826.5,764.4,0.514,0.475,True
230050034003001,Brown,45,1.8,826.5,764.4,0.514,0.475,True
230050034003002,Brown,70,2.9,777.8,764.4,0.483,0.475,True
230050034003005,Brown,92,3.8,751.5,767.6,0.467,0.477,True
230050034002000,Brown,116,4.7,887.8,786.2,0.552,0.489,True
230050031001001,Kaler,352,14.4,957.3,797.7,0.595,0.496,True
230050030011025,Skillin,17,0.7,825.3,801.5,0.513,0.498,True
230050032002008,Brown,63,2.6,878.8,815.9,0.546,0.507,True
230050032002007,Brown,35,1.4,836.6,773.7,0.52,0.481,True
230050032001007,Brown,24,1.0,888.0,815.9,0.552,0.507,True
230050032002006,Brown,39,1.6,874.9,830.2,0.544,0.516,True
230050030012004,Skillin,48,2.0,665.4,831.8,0.413,0.517,True
230050035002026,Brown,84,3.4,893.3,835.6,0.555,0.519,True
230050032002002,Brown,26,1.1,886.5,836.7,0.551,0.52,True
230050034005004,Dyer,17,0.7,952.8,858.9,0.592,0.534,True
230050032003000,Brown,694,28.4,1390.0,870.1,0.864,0.541,True
230050031003005,Kaler,30,1.2,952.0,870.6,0.592,0.541,True
230050034003007,Brown,31,1.3,868.0,875.9,0.539,0.544,True
230050034003014,Brown,19,0.8,817.3,825.2,0.508,0.513,True
230050030011013,Skillin,110,4.5,1094.2,881.9,0.68,0.548,True
230050034003008,Brown,60,2.5,881.3,884.1,0.548,0.549,True
230050031002010,Kaler,107,4.4,1049.8,890.3,0.652,0.553,True
230050030012021,Skillin,27,1.1,729.6,896.0,0.453,0.557,True
230050030012023,Skillin,32,1.3,729.6,896.0,0.453,0.557,True
230050030012015,Skillin,27,1.1,706.7,901.2,0.439,0.56,True
230050034003006,Brown,53,2.2,1002.9,905.3,0.623,0.563,True
230050034003013,Brown,62,2.5,1124.6,905.3,0.699,0.563,True
230050034005002,Dyer,140,5.7,1370.5,929.7,0.852,0.578,True
230050033001000,Dyer,16,0.7,633.1,931.1,0.393,0.579,True
230050032002001,Brown,46,1.9,989.6,932.0,0.615,0.579,True
230050035002023,Brown,39,1.6,989.6,932.0,0.615,0.579,True
230050034003010,Brown,24,1.0,954.0,961.9,0.593,0.598,True
230050033002029,Skillin,44,1.8,828.4,976.9,0.515,0.607,True
230050034002010,Brown,41,1.7,1053.9,991.8,0.655,0.616,True
230050030011026,Skillin,24,1.0,749.8,996.6,0.466,0.619,True
230050033002023,Skillin,45,1.8,909.8,1000.3,0.565,0.622,True
230050034005005,Dyer,22,0.9,920.7,1000.8,0.572,0.622,True
230050034005006,Dyer,24,1.0,920.7,1000.8,0.572,0.622,True
230050030011021,Skillin,42,1.7,803.7,1006.0,0.499,0.625,True
230050034004001,Brown,33,1.3,998.4,1006.2,0.62,0.625,True
230050032002000,Brown,33,1.3,1073.1,1015.5,0.667,0.631,True
230050035002022,Brown,20,0.8,1089.2,1015.5,0.677,0.631,True
230050030012019,Skillin,14,0.6,834.6,1020.2,0.519,0.634,True
230050030011020,Skillin,31,1.3,855.9,1022.3,0.532,0.635,True
230050030011010,Skillin,35,1.4,806.5,972.9,0.501,0.605,True
230050032001008,Brown,32,1.3,1108.2,1045.3,0.689,0.65,True
230050030011007,Skillin,265,10.8,533.4,1049.3,0.331,0.652,True
230050030011011,Skillin,27,1.1,882.9,1049.3,0.549,0.652,True
230050032001005,Brown,40,1.6,1118.4,1055.6,0.695,0.656,True
230050035002024,Brown,21,0.9,1113.4,1055.8,0.692,0.656,True
230050030012006,Skillin,85,3.5,706.7,1065.1,0.439,0.662,True
230050030012003,Skillin,51,2.1,697.7,864.1,0.434,0.537,True
230050034003009,Brown,48,2.0,1082.5,1090.4,0.673,0.678,True
230050030012007,Skillin,76,3.1,934.2,1100.6,0.58,0.684,True
230050032003005,Brown,124,5.1,1017.0,1104.4,0.632,0.686,True
230050032003009,Brown,19,0.8,652.3,759.9,0.405,0.472,True
230050032003019,Brown,40,1.6,678.2,829.3,0.421,0.515,True
230050032003023,Brown,36,1.5,647.1,829.3,0.402,0.515,True
230050032003011,Brown,24,1.0,834.9,942.9,0.519,0.586,True
230050033002024,Skillin,44,1.8,939.5,1105.9,0.584,0.687,True
230050033002030,Skillin,88,3.6,889.2,1105.9,0.553,0.687,True
230050034001011,Brown,117,4.8,1190.8,1134.1,0.74,0.705,True
230050034001010,Brown,24,1.0,1012.8,956.4,0.629,0.594,True
230050034001007,Brown,33,1.3,978.4,903.0,0.608,0.561,True
230050035001020,Brown,94,3.8,1046.2,985.6,0.65,0.612,True
230050035001021,Brown,32,1.3,993.2,924.5,0.617,0.574,True
230050035002012,Brown,36,1.5,1197.2,1139.6,0.744,0.708,True
230050030011019,Skillin,50,2.0,979.3,1145.7,0.609,0.712,True
230050032001009,Brown,60,2.5,1205.0,1146.7,0.749,0.713,True
230050030012002,Skillin,40,1.6,983.9,1150.3,0.611,0.715,True
230050030012005,Skillin,44,1.8,983.9,1150.3,0.611,0.715,True
230050030011009,Skillin,22,0.9,987.1,1153.5,0.613,0.717,True
230050030012001,Skillin,170,7.0,992.4,1158.8,0.617,0.72,True
230050033002021,Skillin,32,1.3,1003.3,1169.7,0.623,0.727,True
230050032001010,Brown,67,2.7,1531.9,1171.3,0.952,0.728,True
230050033001009,Dyer,15,0.6,269.7,1172.3,0.168,0.728,True
230050033001010,Dyer,48,2.0,573.7,1172.9,0.356,0.729,True
230050033001013,Kaler,22,0.9,1335.9,1178.6,0.83,0.732,True
230050032003007,Brown,70,2.9,1186.9,1181.7,0.737,0.734,True
230050032003013,Brown,49,2.0,1207.2,1181.7,0.75,0.734,True
230050030011014,Skillin,420,17.2,1365.8,1199.4,0.849,0.745,True
230050030011015,Skillin,42,1.7,992.4,826.0,0.617,0.513,True
230050031002009,Kaler,106,4.3,1359.3,1199.8,0.845,0.746,True
230050031002014,Kaler,62,2.5,1359.3,1199.8,0.845,0.746,True
230050034004002,Brown,86,3.5,1197.2,1204.9,0.744,0.749,True
230050033002025,Skillin,52,2.1,889.2,1214.8,0.553,0.755,True
230050034001014,Brown,85,3.5,1291.8,1229.7,0.803,0.764,True
230050034001015,Brown,37,1.5,1291.8,1229.7,0.803,0.764,True
230050033001011,Dyer,35,1.4,331.2,1233.8,0.206,0.767,True
230050030011006,Skillin,26,1.1,1469.4,1234.0,0.913,0.767,True
230050030011016,Skillin,25,1.0,1447.4,1234.1,0.899,0.767,True
230050035001018,Brown,40,1.6,1299.1,1236.2,0.807,0.768,True
230050034001005,Brown,37,1.5,1238.1,1134.6,0.769,0.705,True
230050033001007,Dyer,655,26.8,912.1,1236.6,0.567,0.768,True
230050033002022,Skillin,25,1.0,1075.5,1241.9,0.668,0.772,True
230050032003006,Brown,47,1.9,1121.7,1249.9,0.697,0.777,True
230050032003012,Brown,22,0.9,1121.3,1271.9,0.697,0.79,True
230050032001006,Brown,99,4.0,1365.9,1303.0,0.849,0.81,True
230050035002014,Brown,69,2.8,1326.0,1268.5,0.824,0.788,True
230050035002010,Brown,27,1.1,1394.5,1280.2,0.867,0.795,True
230050033002018,Skillin,284,11.6,1953.5,1307.5,1.214,0.812,False
230050034004000,Brown,317,13.0,1247.9,1320.8,0.775,0.821,True
230050031002005,Brown,76,3.1,1220.1,613.3,0.758,0.381,True
230050031002004,Brown,59,2.4,587.3,619.8,0.365,0.385,True
230050031002000,Brown,59,2.4,387.6,630.5,0.241,0.392,True
230050031002001,Brown,30,1.2,660.9,693.4,0.411,0.431,True
230050031002006,Brown,26,1.1,699.3,792.6,0.434,0.493,True
230050031002002,Brown,31,1.3,473.9,849.3,0.294,0.528,True
230050035002009,Brown,22,0.9,1532.8,1342.5,0.952,0.834,True
230050031002007,Kaler,307,12.6,1504.1,1344.5,0.935,0.835,True
230050034001006,Brown,72,2.9,1179.8,1344.8,0.733,0.836,True
230050034003012,Brown,83,3.4,1376.5,1384.3,0.855,0.86,True
230050034001004,Brown,47,1.9,1452.5,1395.5,0.903,0.867,True
230050035001017,Brown,147,6.0,1475.4,1412.6,0.917,0.878,True
230050032003010,Brown,38,1.6,1075.5,1417.8,0.668,0.881,True
230050034005000,Dyer,251,10.3,1380.0,1430.4,0.857,0.889,True
230050035003023,Brown,31,1.3,1503.6,1446.5,0.934,0.899,True
230050034003011,Brown,30,1.2,1452.4,1460.3,0.902,0.907,True
230050034001012,Brown,79,3.2,1305.8,1470.9,0.811,0.914,True
230050034001003,Brown,18,0.7,1529.4,1472.4,0.95,0.915,True
230050035001015,Brown,52,2.1,1604.3,1445.2,0.997,0.898,True
230050034005008,Dyer,53,2.2,1344.8,1505.5,0.836,0.935,True
230050034003015,Brown,40,1.6,1519.3,1527.1,0.944,0.949,True
230050031002011,Kaler,305,12.5,1672.6,1531.3,1.039,0.951,False
230050034001002,Brown,42,1.7,1607.9,1550.8,0.999,0.964,True
230050034001001,Brown,47,1.9,1582.6,1518.3,0.983,0.943,True
230050034003016,Brown,33,1.3,1558.5,1566.3,0.968,0.973,True
230050035002008,Kaler,53,2.2,3435.0,3244.1,2.134,2.016,False
230050032001002,Kaler,57,2.3,3417.5,3244.1,2.124,2.016,False
230050030013013,Skillin,31,1.3,1420.0,1586.4,0.882,0.986,True
230050030013020,Skillin,35,1.4,1423.8,1580.3,0.885,0.982,True
230050034001000,Kaler,26,1.1,3667.2,3527.9,2.279,2.192,False
230050035001016,Brown,89,3.6,1638.1,1611.2,1.018,1.001,False
230050034005001,Dyer,26,1.1,1518.2,1613.5,0.943,1.003,True
230050030011005,Skillin,25,1.0,2154.6,1648.1,1.339,1.024,False
230050031004017,Skillin,18,0.7,1506.5,1259.2,0.936,0.782,True
230050031004015,Skillin,22,0.9,1929.2,1401.6,1.199,0.871,False
230050031004012,Skillin,176,7.2,2131.7,1522.2,1.325,0.946,False
230050033002008,Skillin,46,1.9,1678.7,1346.2,1.043,0.837,False
230050031004016,Skillin,42,1.7,2004.7,1522.2,1.246,0.946,False
230050035003016,Dyer,96,3.9,4478.5,4488.0,2.783,2.789,False
230050031004019,Skillin,35,1.4,1963.2,1714.4,1.22,1.065,False
230050031004010,Skillin,32,1.3,2662.2,1750.1,1.654,1.087,False
230050034005009,Dyer,39,1.6,1675.1,1757.4,1.041,1.092,False
230050033002011,Skillin,80,3.3,2020.9,1787.3,1.256,1.111,False
230050030013015,Skillin,39,1.6,1641.2,1807.6,1.02,1.123,False
