block_id,assigned_school,population,students,walk_dist_m,drive_dist_m,walk_dist_mi,drive_dist_mi,walkable
230050033001005,Dyer,114,4.42,251.9,158.0,0.157,0.098,True
230050031002012,Kaler,494,19.14,1067.7,258.8,0.663,0.161,True
230050034002004,Brown,14,0.54,251.8,0.0,0.156,0.0,True
230050030011024,Skillin,57,2.21,368.3,534.7,0.229,0.332,True
230050034002007,Brown,51,1.98,47.9,86.4,0.03,0.054,True
230050031002013,Kaler,32,1.24,240.9,101.7,0.15,0.063,True
230050033001003,Dyer,264,10.23,213.5,119.6,0.133,0.074,True
230050031001006,Kaler,36,1.39,352.6,193.0,0.219,0.12,True
230050034002003,Brown,87,3.37,280.9,211.2,0.175,0.131,True
230050034002008,Brown,101,3.91,280.9,211.2,0.175,0.131,True
230050034002009,Brown,28,1.08,271.0,278.9,0.168,0.173,True
230050033001004,Dyer,63,2.44,389.4,295.5,0.242,0.184,True
230050031001005,Kaler,77,2.98,478.2,318.7,0.297,0.198,True
230050031001004,Kaler,52,2.01,680.4,289.6,0.423,0.18,True
230050031001003,Kaler,48,1.86,741.4,361.4,0.461,0.225,True
230050031003003,Kaler,82,3.18,612.6,451.2,0.381,0.28,True
230050031003002,Kaler,45,1.74,447.3,382.8,0.278,0.238,True
230050030012012,Skillin,27,1.05,291.6,458.0,0.181,0.285,True
230050031003001,Kaler,48,1.86,621.3,461.7,0.386,0.287,True
230050033001017,Dyer,78,3.02,466.3,464.5,0.29,0.289,True
230050034003003,Brown,50,1.94,555.4,485.7,0.345,0.302,True
230050034002002,Brown,77,2.98,558.9,497.9,0.347,0.309,True
230050032002013,Brown,75,2.91,534.3,471.4,0.332,0.293,True
230050034002001,Brown,118,4.57,558.9,497.9,0.347,0.309,True
230050031003000,Kaler,406,15.73,697.5,537.9,0.433,0.334,True
230050033001018,Dyer,25,0.97,662.0,545.2,0.411,0.339,True
230050033001006,Dyer,48,1.86,458.3,549.4,0.285,0.341,True
230050032002010,Brown,20,0.77,640.8,563.4,0.398,0.35,True
230050032002012,Brown,33,1.28,632.1,569.2,0.393,0.354,True
230050034003004,Brown,46,1.78,614.2,575.7,0.382,0.358,True
230050031003004,Kaler,50,1.94,1025.2,599.0,0.637,0.372,True
230050030012011,Skillin,25,0.97,435.8,602.2,0.271,0.374,True
230050032002009,Brown,47,1.82,668.7,605.8,0.416,0.376,True
230050030012013,Skillin,63,2.44,442.2,608.6,0.275,0.378,True
230050030011012,Skillin,124,4.8,338.0,171.6,0.21,0.107,True
230050030011008,Skillin,35,1.36,631.0,464.6,0.392,0.289,True
230050030011018,Skillin,54,2.09,951.5,525.5,0.591,0.327,True
230050034002006,Brown,121,4.69,602.8,620.6,0.375,0.386,True
230050032002011,Brown,87,3.37,689.6,626.8,0.429,0.389,True
230050033001002,Dyer,35,1.36,598.7,629.2,0.372,0.391,True
230050030012017,Skillin,16,0.62,470.7,637.1,0.292,0.396,True
230050030012016,Skillin,62,2.4,497.1,663.5,0.309,0.412,True
230050033001001,Dyer,16,0.62,461.4,667.2,0.287,0.415,True
230050030011023,Skillin,81,3.14,504.6,671.0,0.314,0.417,True
230050030011022,Skillin,51,1.98,767.9,671.0,0.477,0.417,True
230050032002005,Brown,53,2.05,743.9,681.0,0.462,0.423,True
230050032002004,Brown,36,1.39,733.9,681.8,0.456,0.424,True
230050030012008,Skillin,50,1.94,517.7,684.1,0.322,0.425,True
230050030012014,Skillin,36,1.39,521.7,688.0,0.324,0.428,True
230050030012009,Skillin,23,0.89,532.5,698.9,0.331,0.434,True
230050030012010,Skillin,75,2.91,549.3,715.7,0.341,0.445,True
230050031001002,Kaler,39,1.51,875.7,716.1,0.544,0.445,True
230050030011017,Skillin,87,3.37,901.3,734.9,0.56,0.457,True
230050034005003,Dyer,38,1.47,841.6,747.7,0.523,0.465,True
230050032002003,Brown,42,1.63,807.8,763.3,0.502,0.474,True
230050034003000,Brown,114,4.42,826.5,764.4,0.514,0.475,True
230050034003001,Brown,45,1.74,826.5,764.4,0.514,0.475,True
230050034003002,Brown,70,2.71,777.8,764.4,0.483,0.475,True
230050034003005,Brown,92,3.56,751.5,767.6,0.467,0.477,True
230050034002000,Brown,116,4.49,887.8,786.2,0.552,0.489,True
230050031001001,Kaler,352,13.64,957.3,797.7,0.595,0.496,True
230050030011025,Skillin,17,0.66,825.3,801.5,0.513,0.498,True
230050032002008,Brown,63,2.44,878.8,815.9,0.546,0.507,True
230050032002007,Brown,35,1.36,836.6,773.7,0.52,0.481,True
230050032001007,Brown,24,0.93,888.0,815.9,0.552,0.507,True
230050032002006,Brown,39,1.51,874.9,830.2,0.544,0.516,True
230050030012004,Skillin,48,1.86,665.4,831.8,0.413,0.517,True
230050035002026,Brown,84,3.25,893.3,835.6,0.555,0.519,True
230050032002002,Brown,26,1.01,886.5,836.7,0.551,0.52,True
230050034005004,Dyer,17,0.66,952.8,858.9,0.592,0.534,True
230050032003000,Brown,694,26.89,1390.0,870.1,0.864,0.541,True
230050031003005,Kaler,30,1.16,952.0,870.6,0.592,0.541,True
230050034003007,Brown,31,1.2,868.0,875.9,0.539,0.544,True
230050034003014,Brown,19,0.74,817.3,825.2,0.508,0.513,True
230050030011013,Skillin,110,4.26,1094.2,881.9,0.68,0.548,True
230050034003008,Brown,60,2.32,881.3,884.1,0.548,0.549,True
230050031002010,Kaler,107,4.15,1049.8,890.3,0.652,0.553,True
230050030012021,Skillin,27,1.05,729.6,896.0,0.453,0.557,True
230050030012023,Skillin,32,1.24,729.6,896.0,0.453,0.557,True
230050030012015,Skillin,27,1.05,706.7,901.2,0.439,0.56,True
