block_id,assigned_school,population,students,walk_dist_m,drive_dist_m,walk_dist_mi,drive_dist_mi,walkable
230050033001005,Dyer,114,10.12,251.9,158.0,0.157,0.098,True
230050031002012,Kaler,494,14.51,1067.7,258.8,0.663,0.161,True
230050034002004,Brown,14,0.01,251.8,0.0,0.156,0.0,True
230050030011024,Skillin,57,2.06,368.3,534.7,0.229,0.332,True
230050034002007,Brown,51,1.05,47.9,86.4,0.03,0.054,True
230050031002013,Kaler,32,0.03,240.9,101.7,0.15,0.063,True
230050033001003,Dyer,264,10.27,213.5,119.6,0.133,0.074,True
230050031001006,Kaler,36,4.04,352.6,193.0,0.219,0.12,True
230050034002003,Brown,87,3.09,280.9,211.2,0.175,0.131,True
230050034002008,Brown,101,5.1,280.9,211.2,0.175,0.131,True
230050033001009,Dyer,15,1.02,269.7,1172.3,0.168,0.728,True
230050034002009,Brown,28,1.03,271.0,278.9,0.168,0.173,True
230050030012012,Skillin,27,1.03,291.6,458.0,0.181,0.285,True
230050033001004,Dyer,63,3.07,389.4,295.5,0.242,0.184,True
230050031001005,Kaler,77,2.08,478.2,318.7,0.297,0.198,True
230050031001004,Kaler,52,3.05,680.4,289.6,0.423,0.18,True
230050033001011,Dyer,35,2.04,331.2,1233.8,0.206,0.767,True
230050031001003,Kaler,48,2.05,741.4,361.4,0.461,0.225,True
230050030012011,Skillin,25,2.03,435.8,602.2,0.271,0.374,True
230050030012013,Skillin,63,3.07,442.2,608.6,0.275,0.378,True
230050030011012,Skillin,124,1.13,338.0,171.6,0.21,0.107,True
230050031003003,Kaler,82,11.08,612.6,451.2,0.381,0.28,True
230050031003002,Kaler,45,0.05,447.3,382.8,0.278,0.238,True
230050033001006,Dyer,48,3.05,458.3,549.4,0.285,0.341,True
230050031003001,Kaler,48,2.05,621.3,461.7,0.386,0.287,True
230050033001017,Dyer,78,5.08,466.3,464.5,0.29,0.289,True
230050033001001,Dyer,16,1.02,461.4,667.2,0.287,0.415,True
230050030011008,Skillin,35,2.04,631.0,464.6,0.392,0.289,True
230050030012017,Skillin,16,0.02,470.7,637.1,0.292,0.396,True
230050034003003,Brown,50,0.05,555.4,485.7,0.345,0.302,True
230050030012016,Skillin,62,3.06,497.1,663.5,0.309,0.412,True
230050034002002,Brown,77,2.08,558.9,497.9,0.347,0.309,True
230050032002013,Brown,75,5.08,534.3,471.4,0.332,0.293,True
230050034002001,Brown,118,5.12,558.9,497.9,0.347,0.309,True
230050030011023,Skillin,81,17.08,504.6,671.0,0.314,0.417,True
230050030012008,Skillin,50,0.05,517.7,684.1,0.322,0.425,True
230050030012014,Skillin,36,2.04,521.7,688.0,0.324,0.428,True
230050030011018,Skillin,54,3.06,951.5,525.5,0.591,0.327,True
230050030012009,Skillin,23,0.02,532.5,698.9,0.331,0.434,True
230050030011007,Skillin,265,15.27,533.4,1049.3,0.331,0.652,True
230050031003000,Kaler,406,27.42,697.5,537.9,0.433,0.334,True
230050033001018,Dyer,25,0.03,662.0,545.2,0.411,0.339,True
230050030012010,Skillin,75,0.08,549.3,715.7,0.341,0.445,True
230050032002010,Brown,20,0.02,640.8,563.4,0.398,0.35,True
230050032002012,Brown,33,0.03,632.1,569.2,0.393,0.354,True
230050033001010,Dyer,48,7.05,573.7,1172.9,0.356,0.729,True
230050034003004,Brown,46,2.05,614.2,575.7,0.382,0.358,True
230050033001002,Dyer,35,1.04,598.7,629.2,0.372,0.391,True
230050031003004,Kaler,50,1.05,1025.2,599.0,0.637,0.372,True
230050034002006,Brown,121,2.12,602.8,620.6,0.375,0.386,True
230050032002009,Brown,47,0.05,668.7,605.8,0.416,0.376,True
230050032002011,Brown,87,6.09,689.6,626.8,0.429,0.389,True
230050033001000,Dyer,16,0.02,633.1,931.1,0.393,0.579,True
230050030012004,Skillin,48,0.05,665.4,831.8,0.413,0.517,True
230050030011022,Skillin,51,0.05,767.9,671.0,0.477,0.417,True
230050032002005,Brown,53,5.05,743.9,681.0,0.462,0.423,True
230050032002004,Brown,36,0.04,733.9,681.8,0.456,0.424,True
