block_id,assigned_school,population,students,walk_dist_m,drive_dist_m,walk_dist_mi,drive_dist_mi,walkable
230050034002004,Brown,14,0.33,251.8,0.0,0.156,0.0,True
230050030011024,Skillin,57,1.35,368.3,534.7,0.229,0.332,True
230050034002007,Brown,51,1.21,47.9,86.4,0.03,0.054,True
230050034002003,Brown,87,2.06,280.9,211.2,0.175,0.131,True
230050034002008,Brown,101,2.39,280.9,211.2,0.175,0.131,True
230050034002009,Brown,28,0.66,271.0,278.9,0.168,0.173,True
230050030012012,Skillin,27,0.64,291.6,458.0,0.181,0.285,True
230050034003003,Brown,50,1.18,555.4,485.7,0.345,0.302,True
230050034002002,Brown,77,1.82,558.9,497.9,0.347,0.309,True
230050032002013,Brown,75,1.78,534.3,471.4,0.332,0.293,True
230050034002001,Brown,118,2.79,558.9,497.9,0.347,0.309,True
230050032002010,Brown,20,0.47,640.8,563.4,0.398,0.35,True
230050032002012,Brown,33,0.78,632.1,569.2,0.393,0.354,True
230050034003004,Brown,46,1.09,614.2,575.7,0.382,0.358,True
230050030012011,Skillin,25,0.59,435.8,602.2,0.271,0.374,True
230050032002009,Brown,47,1.11,668.7,605.8,0.416,0.376,True
230050030012013,Skillin,63,1.49,442.2,608.6,0.275,0.378,True
230050030011012,Skillin,124,2.94,338.0,171.6,0.21,0.107,True
230050030011008,Skillin,35,0.83,631.0,464.6,0.392,0.289,True
230050030011018,Skillin,54,1.28,951.5,525.5,0.591,0.327,True
230050034002006,Brown,121,2.87,602.8,620.6,0.375,0.386,True
230050032002011,Brown,87,2.06,689.6,626.8,0.429,0.389,True
230050030012017,Skillin,16,0.38,470.7,637.1,0.292,0.396,True
230050030012016,Skillin,62,1.47,497.1,663.5,0.309,0.412,True
230050030011023,Skillin,81,1.92,504.6,671.0,0.314,0.417,True
230050030011022,Skillin,51,1.21,767.9,671.0,0.477,0.417,True
230050032002005,Brown,53,1.25,743.9,681.0,0.462,0.423,True
230050032002004,Brown,36,0.85,733.9,681.8,0.456,0.424,True
230050030012008,Skillin,50,1.18,517.7,684.1,0.322,0.425,True
230050030012014,Skillin,36,0.85,521.7,688.0,0.324,0.428,True
230050030012009,Skillin,23,0.54,532.5,698.9,0.331,0.434,True
230050030012010,Skillin,75,1.78,549.3,715.7,0.341,0.445,True
230050030011017,Skillin,87,2.06,901.3,734.9,0.56,0.457,True
230050032002003,Brown,42,0.99,807.8,763.3,0.502,0.474,True
230050034003000,Brown,114,2.7,826.5,764.4,0.514,0.475,True
230050034003001,Brown,45,1.07,826.5,764.4,0.514,0.475,True
230050034003002,Brown,70,1.66,777.8,764.4,0.483,0.475,True
230050034003005,Brown,92,2.18,751.5,767.6,0.467,0.477,True
230050034002000,Brown,116,2.75,887.8,786.2,0.552,0.489,True
